File,SAPT Coulomb,Undamped Coulomb
HBC1-FaOOFaON-5.4,-0.005834880268,-0.0065691422
HBC1-FaOOFaON-5.8,-0.004047635438,-0.0046068747
HBC1-FaOOFaON-6.4,-0.002505808088,-0.0028764319
HBC1-FaOOFaON-7.0,-0.0016493966999999998,-0.0019011348999999
HBC1-FaOOFaON-8.0,-0.000907885314,-0.0010494965999999
HBC1-FaOOFaON-10.0,-0.000354421088,-0.0004101674999999
HBC1-FaONFaNN-3.7,-0.077761165986,-0.0556885481
HBC1-FaONFaNN-3.8,-0.06888263087999999,-0.0506700629999999
HBC1-FaONFaNN-4.0,-0.051965876494,-0.040574103
HBC1-FaONFaNN-4.1,-0.0444859023,-0.0358801880999999
HBC1-FaONFaNN-4.2,-0.03788512826,-0.0315880847
HBC1-FaONFaNN-4.3,-0.032206104028,-0.0277502874999999
HBC1-FaONFaNN-4.6,-0.020071006452,-0.0188645566999999
HBC1-FaONFaNN-4.8,-0.014998513992,-0.0147409535999999
HBC1-FaONFaNN-5.0,-0.011466573986,-0.0116513876999999
HBC1-FaONFaNN-5.4,-0.007148501234,-0.0075572433
HBC1-FaONFaNN-5.8,-0.0047778321220000005,-0.0051415051
HBC1-FaONFaNN-6.4,-0.002849711284,-0.0030999248
HBC1-FaONFaNN-7.0,-0.0018270853300000002,-0.0019943961
HBC1-FaONFaNN-8.0,-0.000973383096,-0.001061871
HBC1-FaONFaNN-10.0,-0.000361911102,-0.0003921765
HBC1-FaOOFaNN-3.6,-0.10162116335,-0.0845997256
HBC1-FaOOFaNN-3.8,-0.072952417636,-0.0601768904999999
HBC1-FaOOFaNN-4.0,-0.052262289813999996,-0.0447230186
HBC1-FaOOFaNN-4.2,-0.036932780948,-0.0332021263
HBC1-FaOOFaNN-4.4,-0.026182857876000002,-0.0247839527
HBC1-FaOOFaNN-4.6,-0.018934436667999998,-0.0187539766
HBC1-FaOOFaNN-5.0,-0.01074657647,-0.0113216539999999
HBC1-FaOOFaNN-5.8,-0.0044761598560000004,-0.0049308586
HBC1-FaOOFaNN-6.4,-0.0026431781320000003,-0.002941327
HBC1-FaOOFaNN-7.0,-0.001671388656,-0.0018684985
